,Other plastic early vs late,Late other plastic vs unknown plastic,Late other plastic vs biofilm
8744411142649d2009f683c6cc0b1fcd,-0.0725086528406295,1,1
c8cebcdb4413a4d1d0939a7776cfe715,0.03123468415207499,32.01569111860437,1
b86a75df482f0fc6da75c20d1c434a62,1,0.4002980674491839,1.0
4fb4af722997cb4bb1e8afaecf9855ea,1,0.55749295065024,0.3979400086720376
e15844b3dabd49a2995f936c5b616330,1,-4.406815125479532,1
ed98833c5e25c1fc8a0d13192509a9f8,1,-12.830634996641269,-0.07793846526393856
c0da7e784e7e887550b294eddcf287be,1,0.09290276748742211,7.649957157572793
5a7b179b1b45f0fe2282f260bf073f60,1,1,0.2059771852360797
a2a01f110fdae631de98e7bc9bc6150c,1,1,1.0
cc86c15357f8c5ba4b55e5379b07ae38,1,1,1.0
1516cd1f7a1e4da4a9318783cb437b3f,1,1,1.0
2c0cf253f8d1c43edd7b09c23942f3cb,1,1,1.0
cb76ce3c9488571137c22fd5d6627d9b,1,1,1.0
48989212ea27d39e6d42abad1554d9b4,1,1,-0.5936926411670822
Colors,"#8B008B, #FCA94A","#8B008B, #3593FC","#8B008B, #FCA94A"
