,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
7e06b5786d98e6ce66ee5137ac736d66,-1.1464860325766353,0,0,0,0,0,0
00b29436d3526a4cd1af9a9db16c6d0a,2.3535949524706496,0,0,1.5473183270911004,0,0,0
22297f506babbe0c07be324668b7ee44,1.1287629199736742,0,0,1.2527938013863968,8.429886845248287,0,0
043b76bfbbdb81400cb8c0d07d28c012,8.42389320987627,-10.27031029148122,0,-1.6741204726640384,0,0,0
9208048936a7abe7ef59466d52e44e9c,1.0535490615074923,0,0,0,0,0,0
197df0274ad40c2bfe525a3207c31b86,1.0079606880042844,0,0,0,0,0,0
0356b8bf9fd15d2b45124228f1e8a464,-1.0071985919407294,0,0,0,0,0,0
34835afbd7b2e3ce535d53436d8b9a86,-1.0000081378375498,0,0,0,0,0,0
0020a0d0325652d9afc09ffee32e8002,1.0218863001117686,0,0,0,0,0,0
01bec91107c2b6749108283b68a080e1,-1.0535490615074925,0,0,0,0,0,0
0002f15db0a619820472a18398197f5b,-1.2307322738209763e+29,0,0,1.373861683101766,1.1945666133448496,0,0
48ad9b5bbf12b65767448b349b7c6ca6,1.0619360368833601,0,0,0,0,0,0
1e104b993416995498346089f57fd3bf,16.0,0,0,-1.138048618057742,0,0,0
1606dd77af9faf5ca6185ddedd2d7c15,-1.0000081378375498,0,0,0,0,0,0
43faf3252e0182e1bab6abcc38918ce8,1.0822118838873684,0,0,0,0,0,0
008ba014f02cac90589c730347c9bf8c,-17.322582000567152,0,-1.0430147153061113,1.003863689106463,-1939.3021710808289,0,0
107be6c55008e1f0b923db21d18a37f4,1.0822118838873684,0,0,0,0,0,0
836bc050fba7d8f330329f853ccfa1d4,1.0123058698769736,0,0,0,0,0,0
03b35d5b8ebdc5b0010ce4684b67b449,0,2661551524513.4653,0,1.0169350244250133,10999.382230476249,0,0
04175f386c14319829ffb23d5c188b2a,0,0,-36957891253.587845,-9.585930281814063,0,0,0
0bc1a9023a32750de92cc2c7909dcf04,0,0,11.759454142109306,11.759454142109306,0,0,0
02302e176d74b8b7d3342ea21dda7e5c,0,0,-11.144776534713618,1.737393417158185,0,0,0
0723506697d216a978d3fe4985d15775,0,0,-1.049489985576358,-1.1622661770138707,0,0,0
00417935e546dfe8e74de29f8f3f0b76,0,0,0,48.66659307228826,0,0,0
205775a53c1629b48fb78d3d7192a87b,0,0,0,1.0822002498437941,0,0,0
13d7754a56b77b903ad8e14a106a6821,0,0,0,1.046012040066654,0,0,0
0a35d20490ec06be887fbd2832ffa3a2,0,0,0,-1.1752699446074504,0,-1.0360043033262436,0
00b54bad7e854b2cd5c060869fa7ad6a,0,0,0,-1.0347796492234496,0,0,0
183b6af4cbb2e73cd7237ed817e78bea,0,0,0,1.0391854526066757,268254.70160122606,0,0
0fb5bb62e926fc2e2f98ad2648538fee,0,0,0,1.0218811733217126,0,0,0
06052574fa831260b4a8b3fcd558dec1,0,0,0,1.007956473874575,2.1337160448404416e+26,0,0
0ef4e15bfedb5da72f3e9447aa76ef8d,0,0,0,-1.129608495987294,-1.4074583113083063,0,0
00e410cf5ba81da3d93e35809b1dff32,0,0,0,1.003863689106463,1.2857270356777755e+54,0,0
5a7b179b1b45f0fe2282f260bf073f60,0,0,0,1.0123013886299923,0,0,0
00504b396468358f74f5736e0e1a7655,0,0,0,1.2246542594678416,0,0,0
0243ff122f36584fdb303dc4bcd95662,0,0,0,-1.1831893837391754,-25743.960197441018,-1.0418858872732653,0
0e24e81b47a51b1827c0e2d164e87f73,0,0,0,38.969714394746404,0,0,0
174d8892613c4c76501faacc0f8eb83c,0,0,0,1.0244914972528378,420263725.749151,0,0
00793dece430bcf71e5849bd6a07f12d,0,0,0,1.0244914972528378,0,0,0
398ab39049b3efb8ea799a11d4050d55,0,0,0,1.0329449073310852,0,0,0
0b9fdcdc35f2b2dd742be90dce3d9bbf,0,0,0,1.3197805553566992,0,0,0
20ada5c0fa2722151f9039d1896592e8,0,0,0,-1.056471995364361,0,0,-1.072988820808663
03c1a0d53d44e83b53f7bd0b85fc6272,0,0,0,0,1.2528880399491493,0,0
0ca5e8a697924c172f6eeb8218934e70,0,0,0,0,1.2528880399491493,0,0
09161942434aa5ff6287e22ebaaa6a0b,0,0,0,0,1.0822118838873684,0,0
08f197ea2fb81a50a61868aa4599c12f,0,0,0,0,1.1534673639952544,0,0
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #3593FC","#8B008B, #FCA94A"
